Whole Person Physiome Table for Connective-Tissue system: Fascia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author Name(s):,Minyan Zhu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author ORCID(s):,0000-0002-1868-3896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer Name(s):,Rebecca Wells,Katalin Susztak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer ORCID(s):,0000-0002-6988-4102,0000‑0002‑1005‑3726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Publication(s):,"Fascia: The Tensional Network of the Human Body (2e, 2018)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data DOI:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date:,11/25/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version Number:,v1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"List physiological functions as a hierarchy, starting with the body system in Function/1 (this should be the same as the table name), a major life function in Function/2, and more specific functions in subsequent columns. Add more columns if needed. Place limited explanatory text if needed in Function/Notes. Each function should include a ID from Gene Ontology (GO) if possible or another standard ontology. The LABEL column is the label for that ID as it appears in that ontology.",,,,,,,,,,,,,,,,,,,,,,,,,"Provide a very brief description (a few words) of the specific processes that occur during the corresponding function (e.g., a chemical reaction, physical change, feedback loop, etc.) in the Process column. Enter whether the Effector is a cell, tissue, or organ. Provide the anatomical location of the Effector in EffectorLocation along with the associated UBERON ID, if avaialble. Enter the Effector and its UBERON ID in the following columns. See Glossary for detailed instructions on tabulating the Signal, Effect, Behavior, Behavior X, Behavior Y, and X Target columns.",,,,,,,,,,,,,,"Indicate the signal scale category for this process: autocrine, paracrine, intra-organ, circulatory, systemic","Indicate the signal scale category for this process: autocrine, paracrine, intra-organ, circulatory, systemic","Indicate the time scale category for this process: milliseconds, seconds, minutes, hours, days, weeks, years.","OPTIONAL FOR NOW. List clinical measures, such as laboratory tests, vital signs, or radiology studies, related to the physiological function. These columns are simple lists and are NOT hierarchical. Include an ID for the measurement, such as a LOINC code, if known. Add more columns if needed.",,,,,,,,,,,,"OPTIONAL FOR NOW. List other interacting physiological functions. These columns are simple lists and NOT hierarchical. Add more columns if needed. For the LABEL and ID columns, use Gene Ontology (GO) if possible.",,,,,,,,,,,,"REQUIRED. Enter references in support of the information on this row. The ID column should include a standard identifier, such as a DOI or ISBN. The optional CHAPTER column should be used to list the relevant chapters in a book. The optional NOTES column can be used to clarify which part of the row the reference is for, such as a reference about the anatomical structures involved in the function rather than the interactions. Add more sets of reference columns if needed, making sure to include the ID column.",,,,,,,,,,,
Function/1,Function/1/LABEL,Function/1/ID,Function/2,Function/2/LABEL,Function/2/ID,Function/3,Function/3/LABEL,Function/3/ID,Function/4,Function/4/LABEL,Function/4/ID,Function/5,Function/5/LABEL,Function/5/ID,Function/6,Function/6/LABEL,Function/6/ID,Function/7,Function/7/LABEL,Function/7/ID,Function/8,Function/8/LABEL,Function/8/ID,Function/Notes,Process,EffectorScale,EffectorLocation,EffectorLocation/LABEL,EffectorLocation/ID,Effector,Effector/LABEL,Effector/ID,Signal,Effect,Behavior,Behavior X,Behavior Y,EffectParameters (quantitative values),SignalScale,EffectScale,TimeScale,ClinicalMeasure/1,ClinicalMeasure/1/LABEL,ClinicalMeasure/1/ID,ClinicalMeasure/2,ClinicalMeasure/2/LABEL,ClinicalMeasure/2/ID,ClinicalMeasure/3,ClinicalMeasure/3/LABEL,ClinicalMeasure/3/ID,ClinicalMeasure/4,ClinicalMeasure/4/LABEL,ClinicalMeasure/4/ID,Interaction/1,Interaction/1/LABEL,Interaction/1/ID,Interaction/2,Interaction/2/LABEL,Interaction/2/ID,Interaction/3,Interaction/3/LABEL,Interaction/3/ID,Interaction/4,Interaction/4/LABEL,Interaction/4/ID,REF/1,REF/1/ID,REF/1/CHAPTER,REF/1/NOTES,REF/2,REF/2/ID,REF/2/CHAPTER,REF/2/NOTES,REF/3,REF/3/ID,REF/3/CHAPTER,REF/3/NOTES
 Fluid dynamics in fascial tissues ,fluid transport,GO:0042044 ,response to mechanical stimulus ,response to mechanical stimulus ,GO:0009612 ,Sense interstitial flow and alter cytokine secretion,interstitial matrix,GO:0005614,,,,,,,,,,,,,,,,,Vascular endothelial cells detect presence or absence of interstitial flow and respond by secreting chemokines and cytokines,Cell,Vascular endothelium,connective tissue,UBERON:0002384,Endothelial cell,Endothelial cell,CL:0000115,,does,X secretion,chemokines and cytokines,,,,Tissue,hours,Plasma cytokine levels (research),,, inflammatory marker panels,,,,,,,,,endothelial–flow sensing interaction,,,,,,,,,,,,"Fascia: The Tensional Network of the Human Body (2e, 2018)",978-0702071836,4.5,,,,,,,,,
 Fluid dynamics in fascial tissues ,fluid transport,GO:0042044 ,response to mechanical stimulus ,response to mechanical stimulus ,GO:0009612 ,Support protein and solute transport in interstitial spaces,interstitial matrix,GO:0005614,,,,,,,,,,,,,,,,,"Because proteins are too large to simply diffuse, interstitial flow is required to transport proteins between blood and cells",Tissue,Interstitial flow between capillaries and parenchymal cells,interstitial fluid,UBERON:0000913,Interstitial flow between capillaries and parenchymal cells,interstitial fluid,UBERON:0000913,,does,X transport through Y,Proteins,Interstitial,,,Tissue,hours,Lymph protein content (research),,, edema protein analysis,,,,,,,,,interstitial-flow–protein transport interaction,,,,,,,,,,,,"Fascia: The Tensional Network of the Human Body (2e, 2018)",978-0702071836,4.5,,,,,,,,,
 Fluid dynamics in fascial tissues ,fluid transport,GO:0042044 ,response to mechanical stimulus ,response to mechanical stimulus ,GO:0009612 ,Enable VEGF-dependent capillary organization,glomerulus vasculature development,GO:0072012,,,,,,,,,,,,,,,,,New capillary organization of endothelial cells occurs primarily in the presence of VEGF together with interstitial flow,Tissue,interstitial flow in capillary network,connective tissue,UBERON:0002384,interstitial flow in capillary network,connective tissue,UBERON:0002384,VEGF and interstitial flow,increases,X organization,Capillaries,,,paracrine,Circulatory,days,Capillary density in histology,,," perfusion imaging (DCE-MRI, ultrasound)",,,,,,,,,VEGF–interstitial-flow angiogenesis interaction,,,,,,,,,,,,"Fascia: The Tensional Network of the Human Body (2e, 2018)",978-0702071836,4.5,,,,,,,,,
 Fluid dynamics in fascial tissues ,fluid transport,GO:0042044 ,response to mechanical stimulus ,response to mechanical stimulus ,GO:0009612 ,Facilitate washing out of waste and proinflammatory mediators via manual pumping,,,,,,,,,,,,,,,,,,,"Stretching, compression, and shear in manual therapy extrude water and solutes like a sponge, then allow refilling, aiming to wash out waste and proinflammatory substances",Tissue,Fascia and loose connective tissue,superficial fascia,UBERON:0011818,Fascia and loose connective tissue,superficial fascia,UBERON:0011818,"Stretching, compression, and shear in manual therapy",increases,X transport out of Y,water and solutes,fascia,,Intra-organ(Tissue),Tissue,minutes,Clinical reduction in swelling and pain,,, improved tissue glide on palpation,,,,,,,,,manual-therapy–interstitial-fluid pumping interaction,,,,,,,,,,,,"Fascia: The Tensional Network of the Human Body (2e, 2018)",978-0702071836,4.5,,,,,,,,,
 Fluid dynamics in fascial tissues ,fluid transport,GO:0042044 ,response to mechanical stimulus ,response to mechanical stimulus ,GO:0009612 ,Facilitate washing out of waste and proinflammatory mediators via manual pumping,,,,,,,,,,,,,,,,,,,"Stretching, compression, and shear in manual therapy extrude water and solutes like a sponge, then allow refilling, aiming to wash out waste and proinflammatory substances",Tissue,Fascia and loose connective tissue,superficial fascia,UBERON:0011818,Fascia and loose connective tissue,superficial fascia,UBERON:0011818,"Stretching, compression, and shear in manual therapy",increases,X transport to Y,water and solutes,fascia,,,Tissue,minutes,Clinical reduction in swelling and pain,,, improved tissue glide on palpation,,,,,,,,,manual-therapy–interstitial-fluid pumping interaction,,,,,,,,,,,,"Fascia: The Tensional Network of the Human Body (2e, 2018)",978-0702071836,4.5,,,,,,,,,
 Fluid dynamics in fascial tissues ,fluid transport,GO:0042044 ,response to mechanical stimulus ,response to mechanical stimulus ,GO:0009612 ,Facilitate washing out of waste and proinflammatory mediators via manual pumping,,,,,,,,,,,,,,,,,,,"Stretching, compression, and shear in manual therapy extrude water and solutes like a sponge, then allow refilling, aiming to wash out waste and proinflammatory substances",Tissue,Fascia and loose connective tissue,superficial fascia,UBERON:0011818,Fascia and loose connective tissue,superficial fascia,UBERON:0011818,"Stretching, compression, and shear in manual therapy",increases,X transport out of Y,proinflammatory substances,fascia,,,Tissue,minutes,Clinical reduction in swelling and pain,,, improved tissue glide on palpation,,,,,,,,,manual-therapy–interstitial-fluid pumping interaction,,,,,,,,,,,,"Fascia: The Tensional Network of the Human Body (2e, 2018)",978-0702071836,4.5,,,,,,,,,
Origin of fascia (mesenchyme),connective tissue development,GO:0061448,Tissue organization,tissue homeostasis,GO:0001894,,,,,,,,,,,,,,,,,,,,Substance transport between cells,Cell,Interstitial space (mesenchyme),mesenchyme,UBERON:0003104,Mesenchymal cells,endocardial cushion cell,CL:0008022,,does,X transport between Y,Cellular substances,neighboring cells,,Cell,Tissue,seconds,Metabolic panel,Metabolic panel.large animal - Serum or Plasma,54232-4,,,,,,,,,,cell–cell metabolic interaction,,,,,,,,,,,,"Fascia: The Tensional Network of the Human Body (2e, 2018)",978-0702071836,1.1,,,,,,,,,
Origin of fascia (mesenchyme),connective tissue development,GO:0061448,Morphological formation,,,,,,,,,,,,,,,,,,,,,,Attraction–repulsion balance during metabolism,Tissue,Mesenchymal matrix,irregular connective tissue,UBERON:0011821,Mesenchymal matrix,irregular connective tissue,UBERON:0011821,Metabolic by-products,increases,X formation,Cellular spatial organization,,,Intra-organ (Tissue),Tissue,hours,Histological morphology,,,,,,,,,,,,metabolic interaction balance,,,,,,,,,,,,"Fascia: The Tensional Network of the Human Body (2e, 2018)",978-0702071836,1.1,,,,,,,,,
Origin of fascia (mesenchyme),connective tissue development,GO:0061448,Boundary maintenance,compartment boundary maintece,GO:0060289,,,,,,,,,,,,,,,,,,,,Fluid–tissue separation,Tissue,Boundary connective tissue,connective tissue,UBERON:0002384,Boundary connective tissue,connective tissue,UBERON:0002384,,does,X induction of Y,Boundary tissue,body fluids separation,,,Tissue,days,Imaging of tissue edema,,,,,,,,,,,,tissue–fluid separation,,,,,,,,,,,,"Fascia: The Tensional Network of the Human Body (2e, 2018)",978-0702071836,1.1,,,,,,,,,
Origin of fascia (mesenchyme),connective tissue development,GO:0061448,Structural embedding,,,,,,,,,,,,,,,,,,,,,,Organ embedding within matrix tissue,Tissue,Mesenchymal connective matrix,irregular connective tissue,UBERON:0011821,Fibroblasts,collagen secreting cell,CL:0000667,,does,X support of Y,Matrix tissue,organs,,,Organ,weeks,MRI connective tissue analysis,,,,,,,,,,,,matrix–organ integration,,,,,,,,,,,,"Fascia: The Tensional Network of the Human Body (2e, 2018)",978-0702071836,1.1,,,,,,,,,
Origin of fascia (mesenchyme),connective tissue development,GO:0061448,Intercellular spacing maintenance,cell-cell junction maintece,GO:0045217,,,,,,,,,,,,,,,,,,,,Extracellular matrix formation,Cell,Interstitium,interstitial tissue,UBERON:0005169,Mesenchymal cells,endocardial cushion cell,CL:0008022,Glycosaminoglycans,increases,X formation of Y,Extracellular matrix,interstitial space,,Intra-organ (Tissue),Tissue,days,ECM composition assay,,,,,,,,,,,,ECM–cell organization,,,,,,,,,,,,"Fascia: The Tensional Network of the Human Body (2e, 2018)",978-0702071836,1.1,,,,,,,,,
Evolution of fascia anatomy,connective tissue development,GO:0061448,Structural protection,,,,,,,,,,,,,,,,,,,,,,Capsule enclosure of organs,Organ,Organ capsules (Tenon’s capsule),connective tissue,UBERON:0002384,connective tissue,connective tissue,UBERON:0002384,,does,X support of Y,Fibrous capsule,organ surface,,,Organ,years,Ophthalmologic capsule examination,,,,,,,,,,,,capsule–organ protection,,,,,,,,,,,,"Fascia: The Tensional Network of the Human Body (2e, 2018)",978-0702071836,1.1,,,,,,,,,
Evolution of fascia anatomy,connective tissue development,GO:0061448,Mechanical stabilization,,,,,,,,,,,,,,,,,,,,,,Fascial sheath support,Organ,Bulbar fascia / Tenon’s fascia,fascia,UBERON:0008982,Bulbar fascia / Tenon’s fascia,fascia,UBERON:0008982,,does,X stabilization of Y,Fascial sheath,eyeball,,,Organ,years,Ocular motility testing,,,,,,,,,,,,sheath–organ stabilization,,,,,,,,, ,,,"Fascia: The Tensional Network of the Human Body (2e, 2018)",978-0702071836,1.1,,,,,,,,,
Evolution of fascia anatomy,connective tissue development,GO:0061448,Force transmission,,,,,,,,,,,,,,,,,,,,,,Capsule tension distribution,Organ,Articular or organ capsule fascia,visceral fascia,UBERON:0011237,Articular or organ capsule fascia,visceral fascia,UBERON:0011237,Mechanical tension,increases,X transmission to Y,Capsule tension,organ tissue,,Intra-organ (Tissue),Organ,seconds,Joint capsule assessment,,,,,,,,,,,,fascia–mechanical coupling,,,,,,,,,,,,"Fascia: The Tensional Network of the Human Body (2e, 2018)",978-0702071836,1.1,,,,,,,,,
muscle fasciae,anatomical structure arrangement,GO:0048532,General anatomy of the muscle fasciae,,,Structural connectivity,,,,,,,,,,,,,,,,,,,Continuous matrix formation across muscle,Organ,Muscle fasciae network,fascia,UBERON:0008982,Muscle fasciae network,fascia,UBERON:0008982,,does,X formation in Y,Connective tissue network,muscle,,,Organ,years,Ultrasound fascia continuity,,,,,,,,,,,,fascia–muscle continuity,,,,,,,,,,,,"Fascia: The Tensional Network of the Human Body (2e, 2018)",978-0702071836,1.2,,,,,,,,,
muscle fasciae,anatomical structure arrangement,GO:0048532,General structure and composition,,,Mechanical linkage,,,,,,,,,,,,,,,,,,,Proteoglycan matrix linkage of collagen networks,Tissue,Endomysium ECM,epimysium,UBERON:0011899,Endomysium ECM,epimysium,UBERON:0011899,,does,X formation of Y,Proteoglycan matrix,collagen fibers linkage,,Tissue,Tissue,hours,ECM composition assay,,,,,,,,,,,,ECM–fiber coupling,,,,,,,,,,,,"Fascia: The Tensional Network of the Human Body (2e, 2018)",978-0702071836,1.2,,,,,,,,,
muscle fasciae,anatomical structure arrangement,GO:0048532,General structure and composition,,,Mechanical stabilization,,,,,,,,,,,,,,,,,,,Covalent crosslink formation,Tissue,Collagen fiber network,collection of collagen fibrils,UBERON:0011860,Collagen fiber network,collection of collagen fibrils,UBERON:0011860,Glycation products,increases,X formation of Y,Glycation products,collagen crosslinks,,Intra-organ (Tissue),Tissue,weeks,HbA1c,HbA1c measurement device Vendor name,41961-4,,,,,,,,,,glycation–collagen interaction,,,,,,,,,,,,"Fascia: The Tensional Network of the Human Body (2e, 2018)",978-0702071836,1.2,,,,,,,,,
muscle fasciae,anatomical structure arrangement,GO:0048532,Functional anatomy of endomysium,,,Force coordination,,,,,,,,,,,,,,,,,,,Translaminar shear force transmission,Organ,Endomysium reticular layer,endomysium,UBERON:0011895,connective tissue,connective tissue,UBERON:0002384,,does,transmission of X,Translaminar shear force ,,,,Organ,milliseconds,Supersonic shear imaging,,,,,,,,,,,,fiber–endomysium shear coupling,,,,,,,,,,,,"Fascia: The Tensional Network of the Human Body (2e, 2018)",978-0702071836,1.2,,,,,,,,,
muscle fasciae,anatomical structure arrangement,GO:0048532,Functional anatomy of endomysium,,,Load sharing,,,,,,,,,,,,,,,,,,,Shear linkage between adjacent fibers,Organ,Endomysium network,endomysium,UBERON:0011895,connective tissue,connective tissue,UBERON:0002384,,does,X transmission between Y,Endomysium shear,adjacent fibers,,,Organ,milliseconds,Supersonic shear imaging,,,,,,,,,,,,fiber–fiber load sharing,,,,,,,,,,,,"Fascia: The Tensional Network of the Human Body (2e, 2018)",978-0702071836,1.2,,,,,,,,,
muscle fasciae,anatomical structure arrangement,GO:0048532,Functional anatomy of perimysium,,,Shear accommodation,response to fluid shear stress,GO:0034405,,,,,,,,,,,,,,,,,Fascicle sliding facilitation,Organ,Perimysium fascicle boundaries,perimysium,UBERON:0011900,connective tissue,connective tissue,UBERON:0002384,,does,X regulaton of Y,Perimysium sliding,fascicles,,,Organ,seconds,Ultrasound fascicle shear,,,,,,,,,,,,fascicle–perimysium sliding,,,,,,,,,,,,"Fascia: The Tensional Network of the Human Body (2e, 2018)",978-0702071836,1.2,,,,,,,,,
muscle fasciae,anatomical structure arrangement,GO:0048532,Perimysial–endomysial junctions,,,Force transmission support,,,,,,,,,,,,,,,,,,,Junctional plate attachment,Organ,Perimysial junctional plates,perimysium,UBERON:0011900,connective tissue,connective tissue,UBERON:0002384,,does,X attachment to Y,Junctional plate,myofibers,,,Organ,seconds,Muscle elastography,,,,,,,,,,,,perimysium–myofiber attachment,,,,,,,,,,,,"Fascia: The Tensional Network of the Human Body (2e, 2018)",978-0702071836,1.2,,,,,,,,,
muscle fasciae,anatomical structure arrangement,GO:0048532,Perimysium and intracellular subdomains,,,Mechanotransduction,,,,,,,,,,,,,,,,,,,Perimysial stress transduction to cytoskeleton sites,Tissue,Perimysium near capillaries,perimysium,UBERON:0011900,Myofibers,nucleus pulposus cell of intervertebral disc,CL:0002564,,does,X transmission to Y,Perimysial stress,cytoskeletal domains,,,Organ,seconds,Muscle elastography,,,,,,,,,,,,perimysium–cytoskeleton coupling,,,,,,,,,,,,"Fascia: The Tensional Network of the Human Body (2e, 2018)",978-0702071836,1.2,,,,,,,,,
muscle fasciae,anatomical structure arrangement,GO:0048532,Perimysium and intracellular subdomains,,,Cell survival maintenance,cell junction maintece,GO:0034331,,,,,,,,,,,,,,,,,Collagen VI deficiency–linked apoptosis,Cell,Perimysium,perimysium,UBERON:0011900,collagen secreting cell,collagen secreting cell,CL:0000667,Collagen VI deficiency,decreases,X support of Y,Collagen VI,myofiber survival,,Celluar,Organ,days,Muscle biopsy histology,,,,,,,,,,,,ECM–cell survival interaction,,,,,,,,,,,,"Fascia: The Tensional Network of the Human Body (2e, 2018)",978-0702071836,1.2,,,,,,,,,
Somatic fascia,anatomical structure arrangement,GO:0048532,Somatic fascia,,,Tissue protection,,,,,,,,,,,,,,,,,,,Abrasion reduction by fascial wrapping,Organ,Fascial sheet (somatic),fascia,UBERON:0008982,Fascial sheet (somatic),fascia,UBERON:0008982,,does,X protection of Y,Fascial sheet,somatic structures,,,Organ,years,Physical exam palpation,,,,,,,,,,,,fascia–structure buffering,,,,,,,,,,,,"Fascia: The Tensional Network of the Human Body (2e, 2018)",978-0702071836,1.3,,,,,,,,,
Somatic fascia,anatomical structure arrangement,GO:0048532,Somatic fascia,,,Neurovascular conduit,,,,,,,,,,,,,,,,,,,Bundle passage along fascial planes,Organ,Fascial planes,fascia,UBERON:0008982,Fascial planes,fascia,UBERON:0008982,,does,Induction of X,Bundle passage guidance,neurovascular bundles,,,Organ,years,Doppler ultrasound,,,,,,,,,,,,fascia–neurovascular routing,,,,,,,,,,,,"Fascia: The Tensional Network of the Human Body (2e, 2018)",978-0702071836,1.3,,,,,,,,,
Somatic fascia,anatomical structure arrangement,GO:0048532,Somatic fascia,,,Lymph drainage support,lymph circulation,GO:0003017,,,,,,,,,,,,,,,,,Lymphatic vessel distribution in irregular tissue,Tissue,Fascial plane interstitium,fascia,UBERON:0008982,Fascial plane interstitium,fascia,UBERON:0008982,,does,X transport out of Y,lymphatic flow,Fascial plane,,,Organ system,minutes,Lymphoscintigraphy,,,,,,,,,,,,fascia–lymphatic drainage,,,,,,,,,,,,"Fascia: The Tensional Network of the Human Body (2e, 2018)",978-0702071836,1.3,,,,,,,,,
Somatic fascia,anatomical structure arrangement,GO:0048532,Four primary layers,,,System organization,,,,,,,,,,,,,,,,,,,Tube-within-tube layering,Organ system,Pannicular/axial/meningeal/visceral fascia,visceral fascia,UBERON:0011237,Pannicular/axial/meningeal/visceral fascia,visceral fascia,UBERON:0011237,,does,X organization of Y,body compartments,Fascial layer,,,Organ system,years,MRI fascial planes,,,,,,,,,,,,compartmental architecture,,,,,,,,,,,,"Fascia: The Tensional Network of the Human Body (2e, 2018)",978-0702071836,1.3,,,,,,,,,
Somatic fascia,anatomical structure arrangement,GO:0048532,Axial fascia,,,Limb connectivity,limb development,GO:0060173,,,,,,,,,,,,,,,,,Septum extension for neurovascular routing,Organ system,Axial fascia to limb septa,fascia,UBERON:0008982,Axial fascia to limb septa,fascia,UBERON:0008982,,does,X induction of Y,Septum extension,neurovascular routing guidance,,,Organ system,years,MRI / ultrasound,,,,,,,,,,,,trunk–limb continuity,,,,,,,,,,,,"Fascia: The Tensional Network of the Human Body (2e, 2018)",978-0702071836,1.3,,,,,,,,,
Somatic fascia,anatomical structure arrangement,GO:0048532,Meningeal fascia,,,Neural enclosure,neural fold hinge point formation,GO:0021504,,,,,,,,,,,,,,,,,Nervous system wrapping,Organ system,Meningeal fascia,fascia,UBERON:0008982,Meningeal fascia,fascia,UBERON:0008982,,does,X support of Y,Meningeal fascia enclosure,nervous system,,,Organ system,years,MRI neuroaxis,,,,,,,,,,,,meninges–neural enclosure,,,,,,,,,,,,"Fascia: The Tensional Network of the Human Body (2e, 2018)",978-0702071836,1.3,,,,,,,,,
Somatic fascia,anatomical structure arrangement,GO:0048532,Visceral fascia,,,Visceral routing,visceral peritoneum development,GO:1904818,,,,,,,,,,,,,,,,,Neurovascular entry conduit and drainage route,Organ,Visceral fascia,visceral fascia,UBERON:0011237,Visceral fascia,visceral fascia,UBERON:0011237,,does,X transmission to Y,visceral organs,signalling,,,Organ,years,CT/MRI abdomen,,,,,,,,,,,,fascia–organ routing,,,,,,,,,,,,"Fascia: The Tensional Network of the Human Body (2e, 2018)",978-0702071836,1.3,,,,,,,,,
Somatic fascia,anatomical structure arrangement,GO:0048532,Development of limb muscles,limb development,GO:0060173,Muscle patterning,,,,,,,,,,,,,,,,,,,Connective tissue guidance of myoblast organization,Tissue,Limb fascial matrix,fascia,UBERON:0008982,Limb fascial matrix,fascia,UBERON:0008982,Tcf4,increases,X regulation of Y,myoblasts,Fascial matrix patterning,,Intra-organ (Tissue),Organ,weeks,Developmental imaging,,,,,,,,,,,,fascia–myoblast patterning,,,,,,,,,,,,"Fascia: The Tensional Network of the Human Body (2e, 2018)",978-0702071836,1.3,,,,,,,,,
Somatic fascia,anatomical structure arrangement,GO:0048532,Development of diaphragm,diaphragm development,GO:0060539,Structural development,,,,,,,,,,,,,,,,,,,PPF-derived connective tissue scaffold formation,Tissue,Pleuroperitoneal folds matrix,irregular connective tissue,UBERON:0011821,Pleuroperitoneal folds matrix,irregular connective tissue,UBERON:0011821,Tcf4,increases,X regulation of Y,diaphragm muscle,Connective tissue scaffold formation,,Intra-organ (Tissue),Organ,weeks,Fetal ultrasound,,,,,,,,,,,,scaffold–myoblast integration,,,,,,,,,,,,"Fascia: The Tensional Network of the Human Body (2e, 2018)",978-0702071836,1.3,,,,,,,,,
Fascia superficialis,anatomical structure arrangement,GO:0048532,Superficial fascia,,,Dermis anchoring,anchoring junction,GO:0070161,,,,,,,,,,,,,,,,,Fiber bundles connect dermis and deep fascia,Tissue,Retinaculae cutis; dermis; deep fascia,dermis,UBERON:0002067,connective tissue,connective tissue,UBERON:0002384,,does,X formation,Dermis–deep fascia linkage,,,,Tissue,years,Ultrasound tissue plane exam,,,,,,,,,,,,dermis–fascia anchoring,,,,,,,,,,,,"Fascia: The Tensional Network of the Human Body (2e, 2018)",978-0702071836,1.4,,,,,,,,,
Fascia superficialis,anatomical structure arrangement,GO:0048532,Layer organization,,,Layer separation,,,,,,,,,,,,,,,,,,,Formation of fatty and membranous layers,Tissue,Camper fascia; Scarpa fascia,fascia of Scarpa,UBERON:0013705,connective tissue,connective tissue,UBERON:0002384,,does,X formation,fatty and membranous layers,,,,Tissue,years,Subcutaneous ultrasound,,,,,,,,,,,,fat compartmentalization,,,,,,,,,,,,"Fascia: The Tensional Network of the Human Body (2e, 2018)",978-0702071836,1.4,,,,,,,,,
Fascia superficialis,anatomical structure arrangement,GO:0048532,Fat organization,,,Adipose structuring,adipose tissue development,GO:0060612,,,,,,,,,,,,,,,,,Fibrous septa divide fat lobules,Tissue,Fibrous septa; adipose lobules,Adipose tissue,UBERON:0001013,Adipose tissue,Adipose tissue,UBERON:0001013,,does,induction of X,fat lobules division,,,,Tissue,years,Fat biopsy histology,,,,,,,,,,,,septa–fat scaffolding,,,,,,,,,,,,"Fascia: The Tensional Network of the Human Body (2e, 2018)",978-0702071836,1.4,,,,,,,,,
Fascia superficialis,anatomical structure arrangement,GO:0048532,Fat turnover,,,Energy maintenance,,,,,,,,,,,,,,,,,,,Triglyceride renewal,Tissue,Subcutaneous fat,subcutaneous abdominal adipose tissue,UBERON:0014455,subcutaneous abdominal adipose tissue,subcutaneous abdominal adipose tissue,UBERON:0014455,,does,X renewal,,Adipocyte triglyceride,,Small molecule,Tissue,weeks,DXA body composition,,,,,,,,,,,,lipid turnover,,,,,,,,,,,,"Fascia: The Tensional Network of the Human Body (2e, 2018)",978-0702071836,1.4,,,,,,,,,
Fascia superficialis,anatomical structure arrangement,GO:0048532,Cell renewal,stem cell division,GO:0017145,Population homeostasis,homeostasis of number of cells,GO:0048872,,,,,,,,,,,,,,,,,Annual adipocyte replacement,Cell,Adipose tissue,Adipose tissue,UBERON:0001013,adipocyte,adipocyte,CL:0000136,,does,X renewal,,Adipocyte population,,,Tissue,years,Body fat monitoring,,,,,,,,,,,,cell turnover,,,,,,,,,,,,"Fascia: The Tensional Network of the Human Body (2e, 2018)",978-0702071836,1.4,,,,,,,,,
Deep fascia of the limbs,anatomical structure arrangement,GO:0048532,Shoulder deep fascia,,,Limb force coordination,limb development,GO:0060173,,,,,,,,,,,,,,,,,Myofascial linkage,Tissue,Pectoral–deltoid–latissimus fascia,subcutaneous adipose tissue,UBERON:0002190,subcutaneous adipose tissue,subcutaneous adipose tissue,UBERON:0002190,,does,X transmission between Y,limbs,Mechanical force,,,Tissue,seconds,Motion analysis,,,,,,,,,,,,Myofascial continuity,,,,,,,,,,,,"Fascia: The Tensional Network of the Human Body (2e, 2018)",978-0702071836,1.5,,,,,,,,,
Deep fascia of the limbs,anatomical structure arrangement,GO:0048532,Shoulder deep fascia,,,Energy dissipation during locomotion,,,,,,,,,,,,,,,,,,,Fascial tension modulation,Tissue,Shoulder myofascial layer,shoulder connective tissue,UBERON:0003579,shoulder connective tissue,shoulder connective tissue,UBERON:0003579,Motor nerve signal,increases,X regulation of Y,limb movement,Fascial tension,,Intra-organ (Tissue),Tissue,milliseconds,Gait analysis,,,,,,,,,,,,Force redistribution,,,,,,,,,,,,"Fascia: The Tensional Network of the Human Body (2e, 2018)",978-0702071836,1.5,,,,,,,,,
