"id","label"
"UBERON:0002320","glomerular mesangium"
"UBERON:0002333","pulmonary trunk"
"UBERON:0002335","macula densa"
"UBERON:0002345","descending thoracic aorta"
"UBERON:0002383","supraspinatus muscle"
"UBERON:0002401","visceral pleura"
"UBERON:0002456","internal thoracic artery"
"UBERON:0002459","inferior palpebral vein"
"UBERON:0002460","vesical vein"
"UBERON:0002493","uterine artery"
"UBERON:0002505","spiral modiolar artery"
"UBERON:0002962","adductor pollicis muscle"
"UBERON:0002989","anconeus muscle"
"UBERON:0003126","trachea"
"UBERON:0003222","flexor digitorum superficialis"
"UBERON:0003228","supinator muscle"
"UBERON:0003234","extensor pollicis longus muscle"
"UBERON:0003468","ureteric segment of renal artery"
"UBERON:0003470","artery of upper lip"
"UBERON:0003471","artery of lower lip"
"UBERON:0003477","vein of upper lip"
"UBERON:0003478","vein of lower lip"
"UBERON:0003711","brachiocephalic vein"
"UBERON:0003712","cavernous sinus"
"UBERON:0003713","splenic vein"
"UBERON:0003910","splenic sinusoid"
"UBERON:0004042","spleen secondary B follicle"
"UBERON:0004193","loop of Henle ascending limb thin segment"
"UBERON:0004196","proximal convoluted tubule segment 1"
"UBERON:0004197","proximal convoluted tubule segment 2"
"UBERON:0004201","kidney outer medulla inner stripe"
"UBERON:0004202","kidney outer medulla outer stripe"
"UBERON:0004203","cortical collecting duct"
"UBERON:0004204","outer medullary collecting duct"
"UBERON:0004205","inner medullary collecting duct"
"UBERON:0004212","glomerular capillary"
"UBERON:0004538","left kidney"
"UBERON:0004539","right kidney"
"UBERON:0004561","proper palmar digital vein"
"UBERON:0004639","renal afferent arteriole"
"UBERON:0004640","renal efferent arteriole"
"UBERON:0004641","spleen capsule"
"UBERON:0004646","infraorbital artery"
"UBERON:0004647","liver lobule"
"UBERON:0004688","costo-cervical trunk"
"UBERON:0004689","naso-frontal vein"
"UBERON:0004719","kidney arcuate vein"
"UBERON:0004723","interlobular artery"
"UBERON:0004726","vasa recta"
"UBERON:0005097","renal connecting tubule"
"UBERON:0005168","renal interlobular vein"
"UBERON:0005192","deferent duct artery"
"UBERON:0005196","spleen germinal center"
"UBERON:0005271","juxtamedullary cortex"
"UBERON:0005272","peritubular capillary"
"UBERON:0005336","capillary layer of choroid"
"UBERON:0005353","spleen perifollicular zone"
"UBERON:0005429","dorsal pancreatic duct"
"UBERON:0005431","anterior spinal artery"
"UBERON:0005436","common hepatic artery"
"UBERON:0005438","coronary sinus"
"UBERON:0005481","tentorial sinus"
"UBERON:0006564","superficial palmar arch"
"UBERON:0006841","central vein of liver"
"UBERON:0006849","scapula"
"UBERON:0007160","inferior petrosal sinus"
"UBERON:0007196","tracheobronchial tree"
"UBERON:0007315","internal pudendal artery"
"UBERON:0007324","pancreatic lobule"
