urinary system,renal system process,GO:0003014,homeostasis,homeostatic process,GO:0042592,renal hemodynamics,regulation of blood volume by renal aldosterone,GO:0002017,renal blood flow,,,,,,,,,,,,,,,"cortex receives ~90% of RBF; medulla is relatively hypoperfused, which preserves the osmotic gradient",The kidneys receive roughly a quarter of cardiac output,organ,kidney,kidney,UBERON:0002113,kidney,,,,,,does,transport of X from Y to Z,blood,,,renal artery,,,renal vein,,,"[1.0, 1.2]",units = L/min; ~20-25% of cardiac output; RBF = (renal arterial pressure - renal venous pressure) / renal vascular resistance,seconds,,circulatory,renal blood flow,,,mean arterial pressure,,,glomerular filtration rate,,,PAH clearance,,,cardiac output,,,RAAS activation,regulation of systemic arterial blood pressure by circulatory renin-angiotensin,GO:0001991,sympathetic nervous system,,,,,,"High-Yield Physiology, 1st edition. Dudek, 2008.",ISBN: 978-0781745871,16,,"Mulroney & Myers, Netter's Essential Physiology",ISBN 978-0-323-69463-8,17,,,,,,,,,,,,,,,,,,,
urinary system,renal system process,GO:0003014,homeostasis,homeostatic process,GO:0042592,renal hemodynamics,regulation of blood volume by renal aldosterone,GO:0002017,renal blood flow,,,,,,,,,,,,,,,,Renal vascular resistance is inversely related to renal blood flow,organ,kidney,kidney,UBERON:0002113,kidney,,,total renal vascular resistance,,,decreases,transport of X from Y to Z,blood,,,renal artery,,,renal vein,,,,afferent and efferent arterioles are the principal resistance vessels,seconds,intra-organ,circulatory,renal blood flow,,,mean arterial pressure,,,glomerular filtration rate,,,PAH clearance,,,cardiac output,,,RAAS activation,regulation of systemic arterial blood pressure by circulatory renin-angiotensin,GO:0001991,sympathetic nervous system,,,,,,"High-Yield Physiology, 1st edition. Dudek, 2008.",ISBN: 978-0781745871,16,,"Mulroney & Myers, Netter's Essential Physiology",ISBN 978-0-323-69463-8,17,,,,,,,,,,,,,,,,,,,
urinary system,renal system process,GO:0003014,homeostasis,homeostatic process,GO:0042592,renal hemodynamics,regulation of blood volume by renal aldosterone,GO:0002017,renal blood flow,,,,,,,,,,,,,,,myogenic autoregulation holds GFR near-constant across mean arterial pressures of 80-180 mmHg,Afferent arteriolar smooth muscle maintains resting tone,cell,kidney,kidney,UBERON:0002113,kidney afferent arteriolar cell,kidney afferent arteriolar cell,CL:1001006,,,,does,contraction,,,,,,,,,,,,seconds,,intra-organ,renal blood flow,,,mean arterial pressure,,,glomerular filtration rate,,,PAH clearance,,,cardiac output,,,RAAS activation,regulation of systemic arterial blood pressure by circulatory renin-angiotensin,GO:0001991,sympathetic nervous system,,,,,,"High-Yield Physiology, 1st edition. Dudek, 2008.",ISBN: 978-0781745871,16,,"Mulroney & Myers, Netter's Essential Physiology",ISBN 978-0-323-69463-8,17,,,,,,,,,,,,,,,,,,,
urinary system,renal system process,GO:0003014,homeostasis,homeostatic process,GO:0042592,renal hemodynamics,regulation of blood volume by renal aldosterone,GO:0002017,renal blood flow,,,,,,,,,,,,,,,,Stretch of afferent arteriolar smooth muscle by rising perfusion pressure elicits myogenic constriction,cell,kidney,kidney,UBERON:0002113,kidney afferent arteriolar cell,kidney afferent arteriolar cell,CL:1001006,renal perfusion pressure,,,increases,contraction X,force,,,,,,,,,,autoregulatory range 80-180 mmHg mean arterial pressure,seconds,circulatory,intra-organ,renal blood flow,,,mean arterial pressure,,,glomerular filtration rate,,,PAH clearance,,,cardiac output,,,RAAS activation,regulation of systemic arterial blood pressure by circulatory renin-angiotensin,GO:0001991,sympathetic nervous system,,,,,,"High-Yield Physiology, 1st edition. Dudek, 2008.",ISBN: 978-0781745871,16,,"Mulroney & Myers, Netter's Essential Physiology",ISBN 978-0-323-69463-8,17,,,,,,,,,,,,,,,,,,,
urinary system,renal system process,GO:0003014,homeostasis,homeostatic process,GO:0042592,renal hemodynamics,regulation of blood volume by renal aldosterone,GO:0002017,renal blood flow,,,,,,,,,,,,,,,,Renal sympathetic outflow constricts the afferent arteriole and reduces renal blood flow and GFR,cell,kidney,kidney,UBERON:0002113,kidney afferent arteriolar cell,kidney afferent arteriolar cell,CL:1001006,sympathetic nerve activity,,,increases,contraction X,force,,,,,,,,,,,seconds,systemic,intra-organ,renal blood flow,,,mean arterial pressure,,,glomerular filtration rate,,,PAH clearance,,,cardiac output,,,RAAS activation,regulation of systemic arterial blood pressure by circulatory renin-angiotensin,GO:0001991,sympathetic nervous system,,,,,,"High-Yield Physiology, 1st edition. Dudek, 2008.",ISBN: 978-0781745871,16,,"Mulroney & Myers, Netter's Essential Physiology",ISBN 978-0-323-69463-8,17,,,,,,,,,,,,,,,,,,,
urinary system,renal system process,GO:0003014,homeostasis,homeostatic process,GO:0042592,renal hemodynamics,regulation of blood volume by renal aldosterone,GO:0002017,renal blood flow,,,,,,,,,,,,,,,,"Angiotensin II preferentially constricts the efferent arteriole, defending GFR when perfusion falls",cell,kidney,kidney,UBERON:0002113,kidney efferent arteriolar cell,,,angiotensin II,,,increases,contraction X,force,,,,,,,,,,efferent constriction raises P_GC and filtration fraction while lowering renal plasma flow,seconds,circulatory,intra-organ,renal blood flow,,,mean arterial pressure,,,glomerular filtration rate,,,PAH clearance,,,cardiac output,,,RAAS activation,regulation of systemic arterial blood pressure by circulatory renin-angiotensin,GO:0001991,sympathetic nervous system,,,,,,"High-Yield Physiology, 1st edition. Dudek, 2008.",ISBN: 978-0781745871,16,,"Mulroney & Myers, Netter's Essential Physiology",ISBN 978-0-323-69463-8,17,,,,,,,,,,,,,,,,,,,
urinary system,renal system process,GO:0003014,homeostasis,homeostatic process,GO:0042592,renal hemodynamics,regulation of blood volume by renal aldosterone,GO:0002017,renal blood flow,,,,,,,,,,,,,,,,Locally produced prostaglandins dilate the afferent arteriole and offset angiotensin II mediated constriction,cell,kidney,kidney,UBERON:0002113,kidney afferent arteriolar cell,kidney afferent arteriolar cell,CL:1001006,prostaglandin E2,,,decreases,contraction X,force,,,,,,,,,,,seconds,paracrine,intra-organ,renal blood flow,,,mean arterial pressure,,,glomerular filtration rate,,,PAH clearance,,,cardiac output,,,RAAS activation,regulation of systemic arterial blood pressure by circulatory renin-angiotensin,GO:0001991,sympathetic nervous system,,,,,,"High-Yield Physiology, 1st edition. Dudek, 2008.",ISBN: 978-0781745871,16,,"Mulroney & Myers, Netter's Essential Physiology",ISBN 978-0-323-69463-8,17,,,,,,,,,,,,,,,,,,,
urinary system,renal system process,GO:0003014,homeostasis,homeostatic process,GO:0042592,renal hemodynamics,regulation of blood volume by renal aldosterone,GO:0002017,renal blood flow,,,,,,,,,,,,,,,,Endothelium-derived nitric oxide dilates the afferent arteriole,cell,kidney,kidney,UBERON:0002113,kidney afferent arteriolar cell,kidney afferent arteriolar cell,CL:1001006,nitric oxide,,,decreases,contraction X,force,,,,,,,,,,,seconds,paracrine,intra-organ,renal blood flow,,,mean arterial pressure,,,glomerular filtration rate,,,PAH clearance,,,cardiac output,,,RAAS activation,regulation of systemic arterial blood pressure by circulatory renin-angiotensin,GO:0001991,sympathetic nervous system,,,,,,"High-Yield Physiology, 1st edition. Dudek, 2008.",ISBN: 978-0781745871,16,,"Mulroney & Myers, Netter's Essential Physiology",ISBN 978-0-323-69463-8,17,,,,,,,,,,,,,,,,,,,
urinary system,renal system process,GO:0003014,homeostasis,homeostatic process,GO:0042592,renal hemodynamics,regulation of blood volume by renal aldosterone,GO:0002017,renal blood flow,,,,,,,,,,,,,,,,Endothelin 1 is a potent intrarenal vasoconstrictor,cell,kidney,kidney,UBERON:0002113,kidney afferent arteriolar cell,kidney afferent arteriolar cell,CL:1001006,endothelin 1,,,increases,contraction X,force,,,,,,,,,,,minutes,paracrine,intra-organ,renal blood flow,,,mean arterial pressure,,,glomerular filtration rate,,,PAH clearance,,,cardiac output,,,RAAS activation,regulation of systemic arterial blood pressure by circulatory renin-angiotensin,GO:0001991,sympathetic nervous system,,,,,,"High-Yield Physiology, 1st edition. Dudek, 2008.",ISBN: 978-0781745871,16,,"Mulroney & Myers, Netter's Essential Physiology",ISBN 978-0-323-69463-8,17,,,,,,,,,,,,,,,,,,,
urinary system,renal system process,GO:0003014,homeostasis,homeostatic process,GO:0042592,renal hemodynamics,regulation of blood volume by renal aldosterone,GO:0002017,renal blood flow,,,,,,,,,,,,,,,,"ANP dilates the afferent arteriole, raising GFR and sodium excretion",cell,kidney,kidney,UBERON:0002113,kidney afferent arteriolar cell,kidney afferent arteriolar cell,CL:1001006,atrial natriuretic peptide,,,decreases,contraction X,force,,,,,,,,,,,minutes,circulatory,intra-organ,renal blood flow,,,mean arterial pressure,,,glomerular filtration rate,,,PAH clearance,,,cardiac output,,,RAAS activation,regulation of systemic arterial blood pressure by circulatory renin-angiotensin,GO:0001991,sympathetic nervous system,,,,,,"High-Yield Physiology, 1st edition. Dudek, 2008.",ISBN: 978-0781745871,16,,"Mulroney & Myers, Netter's Essential Physiology",ISBN 978-0-323-69463-8,17,,,,,,,,,,,,,,,,,,,
