Human Organ System,Major Organs,Structure_1_Label,Structure_1_ID,Structure_2_Label,Structure_2_ID,Structure_3_Label,Structure_3_ID,Structure_4_Label,Structure_4_ID,Structure_5_Label,Structure_5_ID,Structure_6_Label,Structure_6_ID,Structure_7_Label,Structure_7_ID,Structure_8_Label,Structure_8_ID,Cell_1_Label,Cell_1_ID,Cell_2_Label,Cell_2_ID,<1 second,1s - < 1min,1min - < 1hr,1hr - < 1day,1day - < 1week,1 week - < 1 year,1 year or longer,Unkown
female reproductive system,fallopian tube,fallopian tube,UBERON:0003889,fimbriae of fallopian tube,UBERON:8410010,,,,,,,,,,,,,,,,,,,ovulation@ovarian fimbriae TRANSPORT oocyte FROM ovary TO fallopian tube,,,,,
female reproductive system,fallopian tube,fallopian tube,UBERON:0003889,oviduct epithelium,UBERON:0004804,,,,,,,,,,,,,,,,,,,ovulation@ovarian fimbriae TRANSPORT oocyte FROM ovary TO fallopian tube,,,,,
female reproductive system,fallopian tube,fallopian tube,UBERON:0003889,ampulla of fallopian tube,UBERON:0012648,,,,,,,,,,,,,,,,,,,fertilization@nan,,,,,
female reproductive system,fallopian tube,fallopian tube,UBERON:0003889,ampulla of fallopian tube,UBERON:0012648,,,,,,,,,,,,,,,,,,,morulation@nan,,,,,
female reproductive system,blastocyst,blastocyst,UBERON:0000358,morula,UBERON:0000085,,,,,,,,,,,,,,,,,,,implantation@nan,,,,,
female reproductive system,endometrium,endometrium,UBERON:0001295,,,,,,,,,,,,,,,stromal cell of endometrium,CL:0002255,,,,,,,decidualization@nan,,,
female reproductive system,endometrium,endometrium,UBERON:0001295,,,,,,,,,,,,,,,,,,,,,,,endometrial secretions@endometrium SECRETES progesterone AND estrogen,,,
female reproductive system,trophoblast,trophoblast,UBERON:0000088,,,,,,,,,,,,,,,,,,,,,,,beta hcg secretion@trophoblast SECRETES beta hcg,,,
female reproductive system,placenta,placenta,UBERON:0001987,,,,,,,,,,,,,,,placental villous trophoblast,CL:2000060,,,,,,,formation of syncytiotrophoblast@nan,,,
female reproductive system,placenta,placenta,UBERON:0001987,,,,,,,,,,,,,,,chorionic trophoblast cell,CL:0011101,,,,,,,formation of cytotrophoblast@nan,,,
female reproductive system,placenta,placenta,UBERON:0001987,,,,,,,,,,,,,,,erythrocyte,CL:0000232,,,,,,,invasion@nan,,,
female reproductive system,blood,blood,UBERON:0000178,blood plasma,UBERON:0001969,,,,,,,,,,,,,,,,,,,,,,,,
female reproductive system,heart,heart,UBERON:0000948,heart left ventricle,UBERON:0002084,,,,,,,,,,,,,,,,,,,,,,,,
female reproductive system,lung,lung,UBERON:0002048,alveolus of lung,UBERON:0002299,,,,,,,,,,,,,,,,,,,,,,,,
female reproductive system,uterus,uterus,UBERON: 0000995,myometrium,UBERON:0001296,,,,,,,,,,,,,,,,,,,,,,,,
female reproductive system,uterus,uterus,UBERON: 0000995,myometrium,UBERON:0001296,,,,,,,,,,,,,,,,,,,,,activation stage@nan,,,
female reproductive system,cervix,uterine cervix,UBERON:0000002,,,,,,,,,,,,,,,,,,,,,,,activation stage@nan,,,
female reproductive system,uterus,uterus,UBERON: 0000995,myometrium,UBERON:0001296,,,,,,,,,,,,,,,,,,,,uterine contraction@oxytocin INCREASES uterine contraction,,,,
female reproductive system,cervix,uterine cervix,UBERON:0000002,,,,,,,,,,,,,,,,,,,,,,cervical dilation@uterine contraction INCREASES cervical dilation,,,,
female reproductive system,placenta,placenta,UBERON:0001987,uterine spiral artery,UBERON:0015171,,,,,,,,,,,,,,,,,,,vasoconstriction@uterine contraction INCREASES spiral artery vasoconstriction,,,,,
female reproductive system,placenta,placenta,UBERON:0001987,vagina,UBERON:0000996,,,,,,,,,,,,,,,,,,,placenta delivery@uterine contraction TRANSPORTS placenta FROM uterus TO vagina,,,,,
female reproductive system,breast,breast,UBERON:0000310,mammary gland,UBERON:0001911,,,,,,,,,,,,,lactocyte,CL:0002325,,,,,milk production@prolactin INCREASES milk production,,,,,
female reproductive system,breast,breast,UBERON:0000310,nipple,UBERON:0002030,,,,,,,,,,,,,,,,,,,prolactin secretion@nipple stimulation INCREASES prolactin secretion,,,,,
female reproductive system,hypothalamus,hypothalamus,UBERON:0001898,median eminence of neurohypophysis,UBERON:0002197,,,,,,,,,,,,,,,,,,spinal cord reflex@nipple stimulation DECREASES dopaminergic hypothalamic signaling,,,,,,
female reproductive system,breast,breast,UBERON:0000310,mammary gland,UBERON:0001911,,,,,,,,,,,,,,,,,,,milk letdown@oxytocin INCREASES milk letdown,,,,,
female reproductive system,pituitary,pituitary gland,UBERON:0000007,adenohypophysis,UBERON:0002196,,,,,,,,,,,,,parvocellular neurosecretory cell,CL:1001505,,,,reflex@nan,,,,,,
female reproductive system,breast,breast,UBERON:0000310,mammary gland smooth muscle,UBERON:0004235,,,,,,,,,,,,,,,,,,mammary duct contraction@oxytocin INCREASES smooth muscle contraction,,,,,,
female reproductive system,breast,breast,UBERON:0000310,nipple,UBERON:0002030,,,,,,,,,,,,,,,,,,,ovarian cycle inhibition@nursing DECREASES gnrh secretion,,,,,
