Human Organ System,Major Organs,Lowest Structure ASCTB Matched,Lowest ID ASCTB Matched,Lowest Type ASCTB Matched,<1 second,1s - < 1min,1min - < 1hr,1hr - < 1day,1day - < 1week,1 week - < 1 year,1 year or longer,Unkown
female reproductive system,ovary,ovarian follicle,UBERON:0001305,AS,,,,inhibin production@granulosa cell SECRETES inhibin,,,,
female reproductive system,ovary,ovarian follicle,UBERON:0001305,AS,,,,activin production@granulosa cell SECRETES activin,,,,
female reproductive system,ovary,ovarian follicle,UBERON:0001305,AS,,,,androstenedione production@thecal cell SECRETES androstenedione,,,,
female reproductive system,adrenal gland,,,Unknown,,,,androstenedione production@zona reticularis SECRETES androstenedione,,,,
female reproductive system,adipose tissue,adipose tissue,UBERON:0001013,AS,,,,peripheral aromatization@nan,,,,
female reproductive system,skeletal muscle,,,Unknown,,,,peripheral aromatization@nan,,,,
female reproductive system,skin,skin of body,UBERON:0002097,AS,,,,peripheral aromatization@nan,,,,
female reproductive system,placenta,placenta,UBERON:0001987,AS,,,human chorionic gonadotroph production@placenta SECRETES beta hcg,,,,,
female reproductive system,placenta,placenta,UBERON:0001987,AS,,,progesterone production@placenta SECRETES progesterone,,,,,
female reproductive system,placenta,placenta,UBERON:0001987,AS,,,estrogen production@placenta SECRETES estrogen,,,,,
female reproductive system,breast,,,Unknown,,,,,,,,
female reproductive system,adipose tissue,adipose tissue,UBERON:0001013,AS,,,,leptin secretion@nan,,,,
female reproductive system,ovary,ovarian follicle,UBERON:0001305,AS,,,,,,,,
female reproductive system,pituitary gland,,,Unknown,,,,,folliculogenesis@nan,,,
female reproductive system,ovary,ovarian follicle,UBERON:0001305,AS,,,,,folliculogenesis@ovarian follicle SECRETES estradiol,,,
female reproductive system,pituitary gland,,,Unknown,,,,ovulation@anterior pituitary SECRETES luteinizing hormone,,,,
female reproductive system,ovary,ovarian follicle,UBERON:0001305,AS,,,,ovulation@ovarian follicle RELEASES oocyte,,,,
female reproductive system,ovary,corpus luteum,UBERON:0002512,AS,,,,luteal phase@corpus luteum SECRETES progesterone,,,,
female reproductive system,placenta,placenta,UBERON:0001987,AS,,,,,formation of corpus luteum@placenta SECRETES beta hcg,,,
female reproductive system,ovary,corpus luteum,UBERON:0002512,AS,,,,,atresia of corpus luteum@nan,,,
female reproductive system,endometrium,endometrium,UBERON:0001295,AS,,,,,menstruation@nan,,,
female reproductive system,ovary,ovarian follicle,UBERON:0001305,AS,,,,,endometrial proliferation@nan,,,
female reproductive system,ovary,ovary,UBERON:0000992,AS,,,,,endometrial differentiation@nan,,,
female reproductive system,ovary,ovary,UBERON:0000992,AS,,,,,oocyte maturation@nan,,,
female reproductive system,ovary,theca cell,CL:0000503,CT,,,,,theca cell proliferation@nan,,,
female reproductive system,ovary,ovary,UBERON:0000992,AS,,,,,granulosa cell proliferation@nan,,,
female reproductive system,ovary,ovary,UBERON:0000992,AS,,,,,fluid formation@nan,,,
female reproductive system,sacral plexus,sacral nerve plexus,UBERON:0034986,AS,innervation@sacral plexus INNERVATES clitoris,,,,,,,
female reproductive system,clitoris,,,Unknown,,innervation@cavernous nerve of clitoris INNERVATES corpus cavernosum,,,,,,
female reproductive system,cavernosal artery,dorsal artery of clitoris,UBERON:0008323,AS,,innervation@cavernosal artery SUPPLIES corpus cavernosum,,,,,,
female reproductive system,cavernosal vein,deep dorsal vein of clitoris,UBERON:0006690,AS,,innervation@cavernosal vein DRAINS corpus cavernosum,,,,,,
female reproductive system,bartholin's gland,,,Unknown,,lubrication@bartholin gland SECRETES fluid,,,,,,
female reproductive system,sacral plexus,sacral nerve plexus,UBERON:0034986,AS,innervation@sacral plexus INNERVATES bartholin gland,,,,,,,
female reproductive system,sacral plexus,sacral nerve plexus,UBERON:0034986,AS,reflex afferent@sacral spinal nerve SENSES clitoris,,,,,,,
female reproductive system,skeletal muscle,,,Unknown,,reflex efferent@motor pudendal nerve INNERVATES perineal muscle,,,,,,
female reproductive system,cervix,uterine cervix,UBERON:0000002,AS,,cervical dilation@nan,,,,,,
female reproductive system,uterus,,,Unknown,,uterine contraction@oxytocin INCREASES uterine contraction,,,,,,
female reproductive system,pituitary,,,Unknown,,oxytocin release@nan,,,,,,
